1,,,,,,,,,,,
Pub Title,Microbial regulation of hexokinase 2 links mitochondrial metabolism and cell death in colitis. Cell Metabolism,,,,,,,,,,
Keywords,hexokinase,inflammation,microbiota,intestinal epithelial cell,immunometabolism,HK2,butyrate,acute colisis,,,
SQ_TP,(HK2) AND (IBD) ,immunometabolism AND butyrate ,,,,,,,,,
SQ_R,(HK2) AND (acute colisis OR inflammation) ,(intestinal ephitelial cells) AND (hexokinase OR hexokinases) , inflammation AND immunometabolism.,,,,,,,,
SQ_FP,(HK2) NOT (IBD OR acute colisis OR inflammation)  ,inflammation NOT (microbiota OR IBD OR metabolism OR regulation),,,,,,,,,
2,,,,,,,,,,,
Pub Title,Multiplexed imaging and automated signal quantification in formalin-fixed paraffin-embedded tissues by ChipCytometry,,,,,,,,,,
Keywords,multiplexed tissue imaging,formalin-fixed paraffin-embedded,spatial spillover correction,cell-type segmentation,automated quantification,,,,,,
SQ_TP,automated quantification AND multiplexed tissue imaging,cell-type segmentation AND Tissue imaging AND spatial,,,,,,,,,
SQ_R,(formalin-fixed) AND (paraffin-embedded) AND imaging ,cell segmentation AND quantification,,,,,,,,,
SQ_FP,multiplexed AND tissue AND imaging ,spatial spillover correction,,,,,,,,,
3,,,,,,,,,,,
Pub Title,Morphology Matters A Critical Reappraisal of the Clinical Relevance of Morphologic Criteria From the 2019 WHO Classification in a Large Colorectal Cancer Cohort Comprising 1004 Cases,,,,,,,,,,
Keywords,colorectal carcinoma,CRC,tumor budding,microsatellite subgroup,WHO grade,adenocarcinoma ,,,,,
SQ_TP,colorectal carcinoma AND tumor budding,tumor budding OR microsatellite subgroup,WHO grade AND (carcinoma OR CRC) AND microsatellite,,,,,,,,
SQ_R,(colorectal carcinoma OR CRC) AND microsatellite subgroup,WHO grade AND (carcinoma OR CRC),,,,,,,,,
SQ_FP,(microsatellite) NOT ((colorectal OR CRC)),,,,,,,,,,
4,,,,,,,,,,,
Pub Title,Origin and fine-tuning of effector CD8 T cell subpopulations in chronic infection,,,,,,,,,,
Keywords,T cell exhaustion,Tox,Tcf1+,effector CD8 T cell,,,,,,,
SQ_TP,(Tcf1) AND (T cell exhaustion OR T-cell exhaustion),(Effector CD8) AND (T cell OR T-cell) AND (Tox),,,,,,,,,
SQ_R,(Effector CD8) AND (T cell OR T-cell),,,,,,,,,,
SQ_FP,((TCF1) OR (Tox)) NOT (T-cell OR T cell),,,,,,,,,,
5,,,,,,,,,,,
Pub Title,New technologies for developing phage-based tools to manipulate the human microbiome,,,,,,,,,,
Keywords,microbiome manipulation,phages,cultivation-independent technologies,viral-tagging,multi-omics,dysbiosis-associated diseases,Gut bacteria,,,,
SQ_TP,(microbiome manipulation) AND (phage OR phages),(viral tagging) AND (Gut OR intestine),((multi-omics) OR (multi omics)) AND (microbiome manipulation),,,,,,,,
