1,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.3390/nu15030636,,,,,,,,,,
Keywords,intestinal microbes,cecal enlargement,germ-free animal models,digestive enzymes,amino acid metabolism,Helicobacter sp.,Rodientibacter sp.,Staphylococcus aureus,Pseudomonas aeruginosa,antibiotic treatment,
SQ_TP,intestinal microbes AND IBD,Helicobacter[Organism] AND IBD,germ-free animal models AND Heliobacter[Organism] and IBD,germ-free animal models AND Staphylococcus[Organism] and IBD,,,,,,,
SQ_FP,cecal enlargement AND amino acid metabolism,Helicobacter[Organsim] NOT IBD NOT intestinal microbes,,,,,,,,,
SQ_R,amino acid metabolism AND IBD,cecal enlargement NOT IBD AND antibiotic treatment,cecal enlargement AND digestive enzymes NOT IBD NOT intestinal microbes AND antibiotic treatment,,,,,,,,
2,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1016/j.tim.2023.02.009,,,,,,,,,,
Keywords,fasting,gut microbiome,autophagy,16S rRNA gene amplicon sequencing,self-reporting methods,food-frequency questionnaires,,,,,
SQ_TP,gut microbiome AND IBD,,,,,,,,,,
SQ_FP,fasting AND autophagy NOT gut microbiome,16S rRNA gene amplicon sequencing AND self-reporting methods AND food-frequency questionnaires,autophagy NOT IBD NOT gut microbiome,,,,,,,,
SQ_R,gut microbiome AND autophagy NOT IBD,autophagy AND IBD NOT gut microbiome,fasting AND gut microbiome,fasting AND IBD,gut microbiome AND 16S rRNA gene amplicon sequencing,,,,,,
3,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1158/2159-8290.cd-22-0876,,,,,,,,,,
Keywords,Immunotherapies,pancreatic ductal adenocarcinoma,immunosuppression,chemotherapy,chemoradiation,oncolytic virotherapy,vaccination,KRAS-directed therapies,oncogenic signaling,cell-type specific proteomics,
SQ_TP,IBD AND microbiome AND immunosuppression,,,,,,,,,,
SQ_FP,immunosuppression AND pancreatic cancer OR oncolytic virotherapy,IBD AND oncolytic virotherapy,chemotherapy AND chemoradiation AND vaccination,,,,,,,,
SQ_R,pancreatic cancer AND IBD OR immunosuppression AND IBD,KRAS-directed therapies AND IBD,cell-type specific proteomics AND IBD,,,,,,,,
4,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1016/j.xgen.2023.100276,,,,,,,,,,
Keywords,genetic screening,non-coding genomics,cancer evolution,leukemia,lymphoma,mouse model,discrete gene dysregulation AND lymphoma AND leukmia,cell-type specific enhancer,tumor suppressors,,
SQ_TP,IBD AND mouse model AND microbiome,,,,,,,,,,
SQ_FP,leukemia and lymphoma NOT IBD,non-coding genomics AND genetic screening AND cancer evolution,mouse model AND tumor suppressors AND genetic screening AND non-coding genomics,,,,,,,,
SQ_R,cancer evolution AND IBD,tumor suppressors AND IBD,IBD AND (mouse model OR genetic screening),,,,,,,,
5,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1371/journal.pone.0280870,,,,,,,,,,
Keywords,NGS-based testing,bacterial microbiota,16S rRNA gene,Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria,mouse model,misclassification,,
SQ_TP,Bacterial microbiota AND IBD,Actinobacteria[Organism] AND IBD,Bateroidetes[Organism] AND IBD,Firmicutes[Organism] AND IBD,Proteobacteria[Organism] AND IBD,,,,,,
SQ_FP,Actinobacteria[Organism] OR Bacteroidetes[Organism] OR Firmicutes[Organism] OR Proteobacteria[Organism] NOT IBD NOT (bacterial microbiota),misclassification AND mouse model AND 16S rRNA gene,,,,,,,,,
SQ_R,bacterial microbiota NOT IBD,Proteobacteria[Organism] AND IBD NOT bacterial microbiota,IBD NOT bacterial microbiota,bacterial microbiota AND (Actinobacteria[Organism] OR Bacteroidetes[Organism] OR Firmicutes[Organism] OR Proteobacteria[Organism]),,,,,,,
6,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.3390/nu15071742,,,,,,,,,,
Keywords,pediatric IBD,Crohn's disease,fecal microbiota transfer,exclusive enteral nutrition,microbial community composition,16S rRNA amplicon sequencing,immune regulation,disease progession in childhood-onset IBD,anti-TNF treatment,bile acid metabolism,
SQ_TP,pedriatic IBD AND fecal microbiota transfer,microbial community composition AND IBD,disease progression in childhood-onset,,,,,,,,
SQ_FP,bile acid metabolism NOT IBD NOT fecal microbiota transfer,(exclusive enteral nurtition OR immune regulation) AND 16S rRNA amplicon sequencing ,,,,,,,,,
SQ_R,immune regulation AND pediatric IBD NOT fecal microbiota transfer,disease progression in childhood-onset IBD NOT fecal microbiota transfer,Crohn's disease AND IBD,bile acid metabolism AND pedriatic IBD NOT fecal microbiota transfer NOT microbial community composition,Crohn's disease AND fecal microbiota transfer,microbial community compositon NOT IBD,IBD NOT microbial community composition,,,,
7,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.3390/vetsci10020125,,,,,,,,,,
Keywords,lymphoma,carcinoma,enteritis,ddPCR,canine intestinal tumours,miRNA,FFPE material,RNU6B,,,
SQ_TP,intestinal tumours AND IBD,canine intestinal tumours AND IBD,,,,,,,,,
SQ_FP,carcinoma AND lymphoma,enteritis NOT IBD NOT microbiota,FFPE material AND ddPCR,carcinoma AND (ddPCR OR miRNA),,,,,,,
SQ_R,enteritis AND IBD,RNU6B AND IBD,miRNA profile AND IBD,,,,,,,,
8,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1038/s41590-023-01444-x,,,,,,,,,,
Keywords,kinetic proofreading model,linker activation of T cells,cell fate plasticity,Listeria infection,mouse model,autoimmunity,TCR ligand recognition,,,,
SQ_TP,Listeria infection AND IBD AND microbiota,,,,,,,,,,
SQ_FP,Listeria infection AND autoimmunity,cell fate plasticity AND (mouse model OR autoimmunity OR TCR ligand recognition) ,kinetic proofreading model AND mouse model,TCR ligand recognition AND kinetic proofreading model,,,,,,,
SQ_R,cell fate plasticity AND IBD NOT Listeria infection,linker activation of T cells AND IBD,autoimmunity AND IBD OR linker activation of T cells AND IBD,TCR ligand recognition AND IBD,,,,,,,
9,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1136/gutjnl-2023-330362,,,,,,,,,,
Keywords,Colorectal cancer,Helicobacter pylori,Apc-mutant mouse,immune and epithelial changes,tumorigenesis,antibiotics,,,,,
SQ_TP,Helicobacter pylori[Organism] AND colorectal cancer OR tumorigenesis AND IBD,,Helicobacter pylori OR colorectal cancer AND IBD,,,,,,,,
SQ_FP,NOT Helicobacter pylori[Organism] NOT IBD,Apc-mutant mouse AND antibiotics AND tumorigenesis,,,,,,,,,
SQ_R,immune and epithelial changes NOT Helicobacter pylori[Organism] NOT IBD,Helicobacter pylori[Organism] AND colorectal cancer,,,,,,,,,
10,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.3389/fimmu.2023.1157373,,,,,,,,,,
Keywords,allergic inflammation,lipid mediators,eicosanoid family,RNA- and ATAC-sequencing,aryl hydrocarbon receptor,prostaglandin pathway,leukotriene pathway,mouse model,IgE,macrophages,
SQ_TP,allergic inflammation AND IBD AND microbiota,,,,,,,,,,
SQ_FP, allergic inflammation AND (lipid mediators OR eicosanoid family) NOT IBD,RNA- and ATAC-sequencing AND allergic inflammation,(IgE OR macrophages) AND RNA- and ATAC-sequencing,,,,,,,,
SQ_R,IgE AND IBD,lipid mediators AND IBD,aryl hydrocarbon receptor AND IBD,prostaglandin pathway AND IBD,leukotriene pathway AND IBD,macrophages AND IBD OR IgE AND IBD,,,,,
11,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1186/s40168-023-01508-y,,,,,,,,,,
Keywords,Crohn's disease,murine models,ileo-colonic inflammation,segmented filamentous bacteria,dysbiotic microbial communities,tumor growth,iron availability,exclusive enteral nutrition,,,
SQ_TP,murine models AND IBD OR ileo-colonic inflammation AND IBD,ileo-colonic inflammation AND IBD,segmented filamentous bacteria AND IBD AND ileo-colonic inflammation,dysbiotic microbial communities AND IBD,,,,,,,
SQ_FP,segmented filamentous bacteria NOT IBD NOT dysbiotic microbial communities,,,,,,,,,,
SQ_R,iron availability AND IBD NOT ileo-colonic inflammation,segmented filamentous bacteria AND dysbiotic microbial communities,,,,,,,,,
12,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1038/s41467-023-36505-0,,,,,,,,,,
Keywords,SNAIL,transcritpional regulator,genetic models,tumorigenesis,cell cycle progression,senescence,animal model,,,,
SQ_TP,animal model AND IBD AND intestinal bacteria,,,,,,,,,,
SQ_FP,(cell cycle progression OR transcriptional regulator) AND genetic models NOT IBD,tumorigenesis AND animal model AND SNAIL,,,,,,,,,
SQ_R,SNAIL AND IBD,(transcriptional regulator OR  SNAIL) AND IBD,cell cycle progression AND IBD,,,,,,,,
13,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1038/s41590-023-01436-x,,,,,,,,,,
Keywords,pyrimidine starvation AND NOT IBD,pyrimidine synthesis inhibitor,autoimmunity,effector T cells,cell fate-determining checkpoint AND NOT IBD,leflunomide treatment,apoptosis,TCR signaling,mouse model,scRNA-sequencing,
SQ_TP,leflunomide treatment AND microbiome AND IBD,,,,,,,,,,
SQ_FP,(effector T cells OR autoimmunity) AND IBD,pyrimidine synthesis inhibitor AND scRNA-sequencing NOT IBD,(effector T cells OR autoimmunity OR apoptosis OR TCR signaling) NOT IBD NOT microbiome,scRNA sequencing AND NOT IBD ,,,,,,,
