1,,,,,,,,,,,,,,,,,
Pub Title,Division of labor and collective functionality in Escherichia coli under acid stress,,,,,,,,,,,,,,,,
Keywords,acid stress,acid resistance,glutamate decarboxylase,arginine decarboxylase,lysine decarboxylase,AR systems,E. coli,Escherichia coli,pH,,,,,,,,
SQ_TP,ibd AND acid stress,E.coli AND ibd,glutamate decarboxylase AND ibd AND (microbiome OR bacteria),arginine decarboxylase AND ibd AND (microbiome OR bacteria),lysine decarboxylase  AND ibd AND (microbiome OR bacteria),AR systems AND ibd AND (microbiome OR bacteria),pH-value AND gut AND ibd,Escherichia coli AND ibd,inflammatory bowel disease AND acid stress,,,,,,,,
SQ_FP,acid resistance NOT ibd,E.coli NOT ibd,acid stress NOT ibd,pH value NOT ibd,pH value NOT microbio,pH value NOT bacteria,,,,,,,,,,,
SQ_R,inflammatory AND acid stress,E.coli AND inflammatory,acid resistance AND inflammatory,acid stress AND microbio,acid resistance AND microbio,E. coli AND ,,,,,,,,,,,
2,,,,,,,,,,, ,,,,,,
Pub Title,Tutorial: design and execution of crispr in vivo screens.,,,,,,,,,,,,,,,,
Keywords,crispr,in vivo screening,mouse model,,,,,,,,,,,,,,
SQ_TP,ibd AND crispr AND (microbiome OR bacteria),ibd AND in vivo screening AND (microbiome OR bacteria),mouse model AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,,,
SQ_FP,cripspr AND ibd NOT microbiome,in vivo screening AND ibd NOT microbiome,mouse AND ibd NOT microbiome,,,,,,,,,,,,,,
SQ_R,crispr AND microbiome,in vivo screening AND microbiome,mouse model AND microbiome,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
Pub Title,α-Gal present on both glycolipids and glycoproteins contributes to immune response in meat-allergic patients,,,,,,,,,,,,,,,,
Keywords,Glycolipids,a-Gal syndrome,red meat allergy,"galactose-a-1,3-galactose",anaphylaxis,pork kidney,basophil activation,micelle formation,in vitro digestion,alpha-gal,,,,,,,
SQ_TP,Glycolipids AND ibd AND microbiome,a-Gal syndrome  AND ibd AND microbiome,red meat allergy  AND ibd AND microbiome,"galactose-a-1,3-galactose  AND ibd AND microbiome",anaphylaxis  AND ibd AND (microbiome OR bacteria),pork kidney  AND ibd AND microbiome,basophil activation  AND ibd AND microbiome,micelle formation  AND ibd AND microbiome,in vitro digestion  AND ibd AND microbiome,,,,,,,,
SQ_FP,Glycolipids NOT ibd,red meat allergy NOT ibd,alpha-gal NOT ibd,anaphylaxis NOT ibd,basophil NOT ibd,,,,,,,,,,,TP," Which combination leads us to papers surveying ""Gut Microbiome interaction with ibd disease"""
SQ_R,glycolipids AND gastrointestinal,alpha-gal AND gastrointestinal,red meat AND gastrointestinal,red meat AND inflammation,anaphylaxis AND inflammation,red meat AND microbiome AND disease,glycolipid AND gut,,,,,,,,,FP,"Which result in papers surveying anything except for ""Gut microbiome with ibd disease"". "
4,,,,,,,,,,,,,,,,,"For example they have worked on ""Gut Microbiome"" or a family of bacteria found normally in the gut but not its relation to ibd."
Pub Title,Dietary PUFA Preferably Modify Ethanolamine-Containing Glycerophospholipids of the Human Plasma Lipidome,,,,,,,,,,,,,,,,Another example would be papers focusing on gastronomical diseases but NOT from microbiome aspects.
Keywords,polyunsaturated fatty acids,lipidomics,phosphatidylethanolamine,human plasma lipidome,plasmalogen,vegetable oil,,,,,,,,,,other,"Papers similar to ""True Positives"" papers but not necessarily exactly ibd and gut microbiome."
SQ_TP,polyunsaturated fatty acids AND ibd AND (microbiome OR bacteria),lipidomics AND ibd and gut,phosphatidylethanolamine AND ibd AND (microbiome OR bacteria),human plasma lipidome AND ibd AND (microbiome OR bacteria),plasmalogen AND ibd AND (microbiome OR bacteria),vegetable oil AND ibd AND (microbiome OR bacteria),lipidomics AND inflammatory AND gut,,human plasma lipidome AND gut AND disease,vegetable oil AND inflammatory,,,,,,,"Papers which have worked on ""Saliva microbiome"" and ibd, or gut microbiome and other inflammatory diseases or cancer, ""Vira"" and ibd, metabolites and diseases and ..."
SQ_FP,lipidomis NOT ibd,polyunsaturated fatty acids NOT ibd,lipidomics AND ibd NOT microbiome,polyunsaturated fatty acids NOT bacteria,,,,,,,,,,,,,
SQ_R,lipidomics AND gastrointestinal NOT ibd,polyunsaturated fatty acids AND gastrointestinal NOT ibd,vegetable oil  AND gastrointestinal NOT ibd,lipidomics AND inflammation,lipidomics AND microbiome,lipidomis AND bacteria,polyunsaturated fatty acids AND bacteria NOT ibd,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
Pub Title,Susceptibility to diet-induced obesity at thermoneutral conditions is independent of UCP1,,,,,,,,,,,,,,,,
Keywords,adipose tissue,diet-induced obesity,thermogenesis,uncoupling protein 1,UCP1,,,,,,,,,,,,
SQ_TP,adipose AND ibd AND (microbiome OR bacteria),diet AND ibd AND (microbiome OR bacteria),obesity AND ibd AND (microbiome OR bacteria),thermogenesis AND ibd AND (microbiome OR bacteria),UCP1 AND ibd AND (microbiome OR bacteria),uncoupling protein AND ibd AND (microbiome OR bacteria),diet AND microbiome AND (ibd OR inflammatory),,,,,,,,,,
SQ_FP,adipose NOT ibd,obesity NOT ibd,thermogenesis NOT ibd,diet-induced AND adipose,thermogenesis AND microbiome NOT ibd ,,,,,,,,,,,,
SQ_R,adipose AND inflammatory,diet AND gut,obesity AND microbiome,UCP1 AND disease NOT (IBD OR inflammatory),thermogenesis AND microbiome,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
Pub Title,Namco: A microbiome explorer,,,,,,,,,,,,,,,,
Keywords,bioinformatics pipeline,data visualization,microbial co-occurrence networks,microbiome data analysis,microbial functional profiling,,,,,,,,,,,,
SQ_TP,bioinformatics AND ibd AND (microbiome OR bacteria),data AND ibd AND (microbiome OR bacteria),microbial network AND ibd AND (microbiome OR bacteria),microbiome analysis AND ibd,,,,,,,,,,,,,
SQ_FP,bioinformatics NOT ibd,microbiome NOT ibd,,,,,,,,,,,,,,,
SQ_R,bioinformatics AND infammation,bioinformatics AND gastrointensinal,data AND gastrointensinal,microbial network AND data visualization,microbial functional profiling AND microbiome,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
Pub Title,Tumor targeting with bacterial Shiga toxin B-subunit in genetic porcine models for colorectal cancer and osteosarcoma,,,,,,,,,,,,,,,,
Keywords,colorectal tumors,osteosarcoma,Bacterial Shiga Toxin B Subunit,Tumor targeting,,,,,,,,,,,,,
SQ_TP,colorectal tumor AND ibd AND (microbiome OR bacteria),osteosarcoma AND ibd AND (microbiome OR bacteria),shiga toxin AND ibd AND (microbiome OR bacteria),Tumor targeting AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,,
SQ_FP,colorectal NOT ibd,osteosarcoma NOT ibd,osteosarcoma NOT microbiome,tumor targeting NOT ibd,shiga toxin NOT microbiome,,,,,,,,,,,,
