PubMed_IDs_TP,PubMed_IDs_FP,PubMed_IDs_R
"37483517, 35456965, 35267483, 33782030, 33598422, 30567732, 29259270, 37000073, 36813949, 36419946, 36314013, 35899973, 35884067, 35456965, 35437596, 34363898, 31747390, 31394110, 31237031, 30863783, 30768986, 29675003, 28891130, 28685143, 28644872, 28522905, 28397767","38261263, 38261138, 38261067, 38261006, 38260751, 38260523, 38260430, 38260362, 38260185, 38260149, 38260061, 38260040, 38259939, 38259922, 38259911, 38259671, 38259638, 38259591, 38259481, 38259357, 38261263, 38261138, 38261067, 38261006, 38260751, 38260523, 38260430, 38260362, 38260185, 38260149, 38260061, 38260040, 38259939, 38259922, 38259911, 38259671, 38259638, 38259591, 38259413, 38259357, 38260288, 38260202, 38259440, 38258347, 38258345, 38258342, 38258313, 38257822, 38257813, 38257764, 38255679, 38254825, 38254801, 38254780, 38254761, 38254110, 38253900, 38252684, 38251373, 38251347","37983931, 37964307, 37932800, 37904379, 37783407, 37760781, 37699302, 37676407, 37606879, 37597422, 37528793, 37298253, 37187758, 37184519, 36840501, 36623411, 36559672, 36535327, 36483973, 36451837, 38170343, 38007483, 37907173, 37633235, 37286044, 36584854, 36535573, 36475797, 36455758, 36448712, 36419754, 36384075, 36356302, 36185620, 35932064, 35908276, 35692770, 35680099, 35562774, 35456965, 38259481, 38259304, 38257864, 38254877, 38251775, 38251469, 38250713, 38250686, 38249381, 38243254, 38240829, 38240248, 38238682, 38233736, 38231220, 38231215, 38231214, 38229048, 38228846, 38228299"
"36341397, 36341397, 38057027, 37648032, 36461145, 33734544, 32335583, 30401967, 28960811","38248835, 37891214, 37834314, 37056928, 37049536, 36868465, 36768196, 36562589, 36462760, 36233580, 35792343, 35523114, 34959633, 34899302, 34180967, 34159811, 34088983, 33759562, 33690841, 33396382, 38258611, 38257945, 38255745, 38249505, 38247114, 38246140, 38246071, 38245786, 38245683, 38243338, 38242970, 38242769, 38242760, 38242442, 38230519, 38229150, 38225386, 38225215, 38224371, 38223485, 38254301, 38234882, 38233267, 38227018, 38219064, 38205185, 38181474, 38178229, 38172593, 38167474, 38164156, 38153671, 38150882, 38145959, 38145497, 38136625, 38132395, 38126094, 38123121, 38115079","38199270, 38071072, 38018066, 38003218, 37948101, 37726865, 37649924, 37414062, 37324569, 37259539, 37202544, 37163349, 37151270, 37052167, 37020654, 36957977, 36948273, 36863969, 36819159, 36812230, 38199270, 38164654, 38106528, 38018066, 37803835, 37780051, 37682324, 37676349, 37646104, 37579918, 37467011, 37435036, 37344697, 37284518, 37130682, 37116582, 37094701, 36966869, 36874138, 36804930, 38062857, 37630619, 37478851, 37395032, 37340688, 37276064, 37074210, 36868465, 36819064, 36768196, 36341397, 36338128, 36214094, 36139567, 35873546, 35807853, 35599486, 35429253, 35331377, 35074252"
"38260058, 38259389, 38248835, 38248826, 38243950, 38227168, 38223252, 38219386, 38203843, 38196386, 38165179, 38145785, 38145046, 38138587, 38137213, 38133321, 38126747, 38124090, 38116204, 38115672","38261282, 38260960, 38260869, 38260209, 38259967, 38259673, 38259378, 38259358, 38259106, 38258024, 38258019, 38257938, 38257934, 38257864, 38257851, 38257850, 38257190, 38257189, 38257139, 38256554, 38260564, 38260309, 38259106, 38258021, 38258019, 38257834, 38256252, 38254505, 38254181, 38253478, 38252058, 38249446, 38248338, 38247491, 38246848, 38246133, 38245554, 38245349, 38244232, 38243343","37009368, 36911589, 27051585, 38260910, 38259967, 38259963, 38259396, 38255253, 38253929, 38251788, 38249961, 38233485, 38232140, 38220540, 38217044, 38216746, 38215690, 38205394, 38203845, 38203747, 38203738, 38202177, 38201260, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255819, 38255764, 38255652, 38255320, 38255263"
"38260883, 38258013, 38246385, 38246375, 38244366, 38238332, 38229335, 38219656, 38203764, 38200713, 38195072, 38190786, 38189382, 38181646, 38175355, 38170279, 38165897, 38159669, 38157148, 38154629, 34740038, 34672103, 34212286, 34099819, 34061338, 34037848, 33970104, 33905741, 33902686, 33725656, 33645538, 33411134, 33293055, 33128575, 33026145, 33002342, 32717916, 32183121, 32041255, 31615682, 38260883, 38246375, 38244366, 38243603, 38238332, 38229335, 38195072, 38179917, 38178580, 38165897, 38165637, 38160900, 38159669, 38154629, 38144811, 38142991, 38132328, 38130237, 38111220, 38101646","38261396, 38261283, 38261277, 38261266, 38261254, 38261253, 38261160, 38261146, 38261116, 38260995, 38260993, 38260943, 38260867, 38260855, 38260847, 38260814, 38260811, 38260771, 38260766, 38260763, 38261258, 38260888, 38260871, 38259968, 38259966, 38258013, 38257946, 38257858, 38257155, 38254657, 38254313, 38252324, 38251853, 38251347, 38251240, 38250883, 38250340, 38248952, 38248661, 38247655","38261283, 38261254, 38260943, 38260913, 38260901, 38260892, 38260885, 38260867, 38260847, 38260814, 38260695, 38260694, 38260681, 38260583, 38260542, 38260521, 38260497, 38260444, 38260443, 38260187, 38260883, 38259104, 38259074, 38242018, 38238332, 38229335, 38217803, 38211474, 38200295, 38191433, 38190922, 38181946, 38179451, 38177233, 38171069, 38142991, 38136990, 38135695, 38134685, 38118133, 38254657, 38243187, 37974077, 37848577, 37792480, 37721596, 37649797, 37630528, 37606380, 37579801, 37565577, 37405169, 37257170, 37142411, 36933058, 36748519, 36616228, 36563862, 36480152, 36403442"
"35563571, 34089568, 29528942, 37875976, 34089568, 27661668, 37243275, 36078039, 35563571, 34635950, 32738100, 32626789, 32415175, 32346080, 31713285, 29429685, 28350257, 27412591, 27148266, 25875645, 25871620","38232734, 38202569, 38201237, 38164082, 38127793, 38005125, 38005045, 37979864, 37959591, 37898454, 37896411, 37868027, 37763462, 37720810, 37710697, 37687715, 37687702, 37569956, 37564304, 37444927, 38260742, 38260443, 38258788, 38258697, 38258549, 38258516, 38258096, 38256195, 38253716, 38253568, 38251657, 38248627, 38247858, 38247854, 38247833, 38247814, 38247813, 38247788, 38247252, 38247251, 38260555, 38259174, 38256315, 38254415, 38250921, 38250903, 38250853, 38250843, 38249639, 38249480, 38248459, 38247641, 38246268, 38246240, 38246170, 38242707, 38242174, 38237985, 38237616, 38237031","38142927, 37809098, 37770004, 37672184, 37586618, 37552906, 37534876, 37215379, 37202490, 37179753, 37063913, 36708806, 36516815, 36462502, 36227802, 36044863, 35776495, 35724605, 35719369, 35707544, 38260588, 38259673, 38259174, 38257851, 38254415, 38246520, 38244515, 38238446, 38233139, 38231213, 38227935, 38226701, 38222654, 38218976, 38218870, 38213324, 38206189, 38203732, 38201868, 38201190, 38232734, 38201237, 37898454, 37875976, 37443936, 37243275, 37062672, 36967419, 36909592, 36571877, 36189252, 36078039, 36058173, 35563571, 35013108, 34867922, 34757701, 34730393, 34695632, 34636141"
"36144354, 37498116, 36144354, 33563986, 27913859, 23836865, 22847446, 21767810, 15528672, 15528647, 12829271, 10869064, 9226263, 9023924, 8821520, 2844305, 2824484, 6362721, 6359164, 6754730, 6754729, 36144354","38260555, 38257887, 38257847, 38247749, 38247578, 38244386, 38239730, 38239721, 38238509, 38237416, 38224194, 38220490, 38216108, 38213616, 38206101, 38205053, 38199617, 38199304, 38195662, 38190945, 38260850, 38257241, 38248875, 38247846, 38247476, 38243983, 38243137, 38237510, 38232281, 38226453, 38215523, 38214271, 38212600, 38184121, 38181848, 38178094, 38176954, 38171333, 38167945, 38161983","38257241, 38215523, 38143857, 38029124, 37994879, 37981076, 37968407, 37954098, 37952591, 37924150, 37907566, 37867327, 37833920, 37732773, 37717446, 37667234, 37655896, 37627545, 37594273, 37504708, 38187703, 38162870, 38140400, 38139044, 38128983, 38128774, 38101189, 38095474, 38084951, 38071209, 38055781, 38048784, 38045247, 37956735, 37939253, 37935604, 37926364, 37884450, 37882553, 37877586"
"35364006, 33813258, 30850021, 27764786, 25550693, 35394489, 35364006, 34879220, 34484664, 34363007, 34232945, 32787520, 31030170, 30639261, 30329020, 30002222, 29931050, 29129565, 29018150, 28927426, 28100021, 25484988, 25452304, 25157100, 25147342, 38250607, 38247856, 38203798, 38194071, 38188300, 38135253, 38113965, 38110929, 38092386, 38056896, 38055776, 38038367, 38035076, 38022581, 38007509, 38000727, 37987132, 37965323, 37958812, 37925379, 38144305, 37971169, 37814391, 37770968, 37714830, 37705739, 37660142, 37564196, 37483627, 37333156, 37328649, 37256648, 37215580, 37139184, 37121977, 37086018, 37028278, 36894965, 36869048, 36561746","38197898, 37907948, 37665469, 37066992, 34555253, 34289871, 33869045, 32265918, 32231996, 25287760, 24036152, 23826713, 23329394, 23067542, 23005593, 22691359, 22566929, 22179929, 21833687, 21317386, 38260723, 38260669, 38260663, 38260594, 38260484, 38260393, 38260336, 38260315, 38259496, 38259473, 38259064, 38258878, 38258331, 38257752, 38257738, 38256371, 38256253, 38256189, 38255961, 38255822, 38254179, 38250876, 38245623, 38226313, 38224478, 38221616, 38212127, 38200037, 38199599, 38195702, 38169303, 38113900, 38108641, 38091946, 38087364, 38085197, 38077312, 38073378, 38058821, 38042400, 36717220, 36467341, 35371995, 33686787, 33462141","38254785, 38250876, 38244648, 38231305, 38224627, 38215731, 38212499, 38199598, 38193125, 38179743, 38177106, 38175205, 38172925, 38170019, 38161697, 38130991, 38113624, 38087360, 38085594, 38085521, 38260669, 38260522, 38258518, 38257752, 38251842, 38251507, 38250876, 38250827, 38250045, 38247803, 38246583, 38245530, 38244740, 38243273, 38242283, 38241401, 38241400, 38240659, 38240239, 38239974, 38261396, 38261008, 38260850, 38260640, 38260457, 38260434, 38260418, 38260361, 38260302, 38259474, 38259290, 38258917, 38258906, 38258781, 38258505, 38258105, 38258086, 38258065, 38257194, 38256960, 38253900, 38250876, 38247803, 38243657, 38243273, 38242867, 38237349, 38234792, 38234098, 38232703, 38231344, 38228673, 38226976, 38224917, 38223807, 38221757, 38216949, 38216551, 38212125, 38200408"
"38149971, 37950348, 37586767, 37280206, 37172100, 37026005, 36809225, 36384590, 35960818, 35798537, 35728869, 35138911, 34168045, 34120214, 33835499, 33771892, 32849555, 32831296, 32737148, 32286182, 38239352, 38225265, 38182721, 38112398, 38097551, 38077397, 38037341, 38011567, 37993659, 37983487, 37962205, 37961434, 37958791, 37886513, 37815865, 37794800, 37776855, 37769533, 37767552, 37739454, 38261253, 38260999, 38260854, 38260850, 38260594, 38260522, 38260336, 38260279, 38259467, 38259453, 38259448, 38255301, 38254759, 38254179, 38254043, 38253625, 38253539, 38253219, 38253029, 38252684","38260637, 38260519, 38260484, 38260336, 38259990, 38259496, 38257167, 38250890, 38250325, 38249726, 38248874, 38247827, 38246002, 38240138, 38233524, 38228228, 38227652, 38227216, 38227172, 38225288, 38260999, 38255705, 38254885, 38254866, 38254190, 38253539, 38251576, 38249856, 38249813, 38248854, 38248731, 38247313, 38244291, 38243906, 38243252, 38242997, 38242769, 38240936, 38238771, 38235317, 38255251, 38254798, 38249811, 38246566, 38243049, 38241194, 38238993, 38236243, 38235757, 38235318, 38233811, 38233074, 38231411, 38229183, 38228729, 38223729, 38223688, 38218823, 38218022, 38217840, 38256102, 38255265, 38254716, 38254394, 38249467, 38244466, 38240927, 38240853, 38237727, 38231432, 38227907, 38227656, 38225437, 38223327, 38218985, 38211959, 38211733, 38199298, 38199271, 38194271","38261396, 38261008, 38260850, 38260640, 38260457, 38260434, 38260418, 38260361, 38260302, 38259474, 38259290, 38258917, 38258906, 38258781, 38258505, 38258105, 38258086, 38258065, 38257194, 38256960, 38260254, 38253029, 38250858, 38244662, 38243600, 38239853, 38236545, 38232136, 38231165, 38223508, 38216551, 38214607, 38213616, 38194912, 38192630, 38192442, 38188285, 38187708, 38183312, 38182756, 38260850, 38260594, 38260519, 38260362, 38259671, 38259453, 38259064, 38258094, 38257813, 38257808, 38256371, 38256189, 38256070, 38255751, 38254943, 38254536, 38254179, 38254069, 38254003, 38253900, 38259453, 38256102, 38255265, 38255251, 38254716, 38254394, 38249467, 38244466, 38240927, 38240853, 38239881, 38237727, 38236766, 38236249, 38235146, 38233101, 38231432, 38230351, 38227907, 38227656"
"38151037, 37447211, 37274313, 37235632, 35883906, 35640709, 34946037, 34778069, 34422640, 34110482, 33512805, 32947713, 32188136, 31735444, 31355925, 31215236, 31143067, 30558669, 28404159, 28404012, 37917397, 36544934, 36222897, 34858881, 34739493, 32369505, 31519703, 31466948, 31355925, 28980268, 38091982, 36544934, 34963056, 34824452, 34490283, 34422640, 34412659, 33347052, 32943463, 32429496, 32175626, 32133681, 32129453, 31800492, 31445426, 31376284, 31355925, 31173647, 30931254, 30558669, 38117184, 37425673, 37249755, 37174041, 36544934, 36280325, 34946037, 34778069, 34439930, 34315165, 33512805, 33347052, 33236315, 32955191, 32441160, 32296343, 32188136, 31466948, 31143067, 31059738","38260906, 38260902, 38260892, 38260889, 38260883, 38260873, 38260536, 38260493, 38260444, 38260330, 38260103, 38259967, 38259673, 38259349, 38259106, 38259105, 38259093, 38259061, 38258768, 38258376, 38248360, 38226120, 38223912, 38196475, 38187927, 38168300, 38151037, 38130741, 38117184, 38114878, 38105146, 38044960, 38042205, 38038853, 38033789, 38021360, 38019753, 38016098, 38009009, 37995002","38261115, 38260217, 38258518, 38254779, 38254730, 38251437, 38250763, 38250278, 38250164, 38248360, 38247924, 38247098, 38246591, 38246505, 38244334, 38243929, 38242991, 38242730, 38241878, 38241581, 38260901, 38260899, 38260892, 38260882, 38260869, 38260714, 38260539, 38260072, 38260015, 38259741, 38259389, 38259136, 38259079, 38259066, 38258758, 38258376, 38258357, 38258021, 38257997, 38257996"
"38156815, 38110964, 38070244, 38066482, 38045056, 38006803, 38002268, 37995573, 37949390, 37946610, 37930142, 37875182, 37838132, 37820403, 37815870, 37813835, 37778980, 37777160, 37777068, 37768071, 38149880, 38066482, 38006803, 37995573, 37838132, 37820403, 37815870, 37495079, 37494667, 37460613, 37391162, 37330043, 37256205, 37239907, 37151884, 37108564, 37012876, 36926666, 36688460, 36566008","38260879, 38260626, 38258092, 38258048, 38257912, 38257873, 38257851, 38257155, 38256081, 38255939, 38255909, 38255890, 38255874, 38254918, 38254536, 38254456, 38254438, 38253961, 38253956, 38253650, 38260209, 38259967, 38259673, 38259106, 38258019, 38257864, 38257851, 38256076, 38255683, 38255299, 38254941, 38254883, 38254659, 38254195, 38252188, 38250925, 38249451, 38248846, 38246375, 38244627","38255819, 38255764, 38255320, 38253407, 38249970, 38248826, 38247834, 38245781, 38244236, 38243324, 38238335, 38233383, 38233198, 38231408, 38229941, 38229023, 38227799, 38225565, 38221552, 38220140, 38245781, 38233383, 38220553, 38206981, 38193202, 38173174, 38157451, 38151490, 38112525, 38084103, 38078655, 38068838, 38066482, 38064817, 38064812, 38062958, 38030117, 38022496, 37996842, 37995573"
