PubMed_IDs_FP,PMC_IDs_FP
"38261263, 38261138, 38261067, 38261006, 38260751, 38260523, 38260430, 38260362, 38260185, 38260149, 38260061, 38260040, 38259939, 38259922, 38259911, 38259671, 38259638, 38259591, 38259481, 38259357, 38261263, 38261138, 38261067, 38261006, 38260751, 38260523, 38260430, 38260362, 38260185, 38260149, 38260061, 38260040, 38259939, 38259922, 38259911, 38259671, 38259638, 38259591, 38259413, 38259357, 38260288, 38260202, 38259440, 38258347, 38258345, 38258342, 38258313, 38257822, 38257813, 38257764, 38255679, 38254825, 38254801, 38254780, 38254761, 38254110, 38253900, 38252684, 38251373, 38251347","10793722, 10792199, 10779485, 10762195, 10755466, 10741843, 10734448, 10710460, 10709109, 10746018, 10687454, 10664138, 10657470, 10617678, 10603957, 10585227, 10547696, 10543260, 10531294, 10526746, 10793722, 10797044, 10795342, 10792199, 10779569, 10779485, 10771827, 10767240, 10764071, 10759990, 10755466, 10749918, 10746064, 10742510, 10741940, 10741843, 10741487, 10732203, 10731685, 10730217, 10791691, 10715160, 10794416, 10791971, 10776407, 10767001, 10732060, 10725156, 10655115, 10625343, 10612347, 10555521, 10498386, 10359316, 10628307, 10237119, 10216794, 10210955, 10523634, 10456775, 10789613, 10786237, 10784706, 10783801, 10778076, 10778031, 10762195, 10760204, 10759404, 10758498, 10757795, 8720950, 10755466, 10751606, 10743709, 10741843, 10740867, 10732619, 10732598, 10731927, 10795342, 10789627, 10783816, 10779569, 10779485, 10778288, 10771827, 10762195, 10760320, 10760059, 10758425, 10755466, 10749918, 10747646, 10745914, 10744674, 10742945, 10742510, 10741843, 10730217, 10803097, 10803090, 10803089, 10803080, 10803017, 10802962, 10802837, 10802436, 10802079, 10802037, 10802027, 10801895, 10801724, 10801647, 10801601, 10801397, 10801388, 10801306, 10801286, 10801228, 10803190, 10803187, 10803185, 10803183, 10803180, 10803179, 10803176, 10803173, 10803172, 10803171, 10803170, 10803169, 10803167, 10803164, 10803162, 10803158, 10803154, 10803148, 10803144, 10803137, 10803081, 10803080, 10803017, 10801498, 10799489, 10799009, 10798537, 10798489, 10798254, 10798094, 10797911, 10797540, 10797270, 10795603, 10794901, 10794724, 10794705, 10794698, 10794368, 10794290"
"38248835, 37891214, 37834314, 37056928, 37049536, 36868465, 36768196, 36562589, 36462760, 36233580, 35792343, 35523114, 34959633, 34899302, 34180967, 34159811, 34088983, 33759562, 33690841, 33396382, 38258611, 38257945, 38255745, 38249505, 38247114, 38246140, 38246071, 38245786, 38245683, 38243338, 38242970, 38242769, 38242760, 38242442, 38230519, 38229150, 38225386, 38225215, 38224371, 38223485, 38254301, 38234882, 38233267, 38227018, 38219064, 38205185, 38181474, 38178229, 38172593, 38167474, 38164156, 38153671, 38150882, 38145959, 38145497, 38136625, 38132395, 38126094, 38123121, 38115079","10801599, 10792747, 10791986, 10785156, 10781648, 10779938, 10778431, 10772322, 10769809, 10766425, 10760790, 10753951, 10748578, 10747659, 10747655, 10735220, 10735089, 10734300, 10732398, 10727454, 9951616, 9899844, 9402230, 9039405, 8534179, 8462271, 7996247, 7829818, 7313889, 7275699, 7521019, 5953759, 5453394, 4886364, 4648370, 10743374, 10688819, 10783803, 10704271, 10495327, 10471710, 10450795, 10380781, 10357484, 10564625, 10449610, 10344731, 10267593, 10264248, 10192604, 10107179, 10080469, 10066239, 9945843, 9945183, 10800505, 10800401, 10798370, 10795693, 10795532, 10794784, 10794624, 10794555, 10794505, 10794016, 10793954, 10793677, 10790246, 10786909, 10786594, 10786005, 10781698, 10781646, 10780377, 10778431, 10803070, 10801734, 10801599, 10800421, 10800401, 10799860, 10799631, 10799476, 10799430, 10799112, 10798966, 10798517, 10796611, 10796040, 10795895, 10795672, 10794746, 10794624, 10794398, 10794316, 10800401, 10776856, 10773171, 10772324, 10769195, 10763663, 10760370, 10758283, 10757929, 10755970, 10750682, 10747787, 10735089, 10732100, 10720422, 10719430, 10705971, 10697212, 10787557, 10783803, 10800401, 10794784, 10794624, 10794016, 10790246, 10787373, 10786909, 10786005, 10778431, 10777159, 10774592, 10773171, 10768068, 10766425, 10766350, 10763663, 10763072, 10760370, 10760076, 10759929"
"38261282, 38260960, 38260869, 38260209, 38259967, 38259673, 38259378, 38259358, 38259106, 38258024, 38258019, 38257938, 38257934, 38257864, 38257851, 38257850, 38257190, 38257189, 38257139, 38256554, 38260564, 38260309, 38259106, 38258021, 38258019, 38257834, 38256252, 38254505, 38254181, 38253478, 38252058, 38249446, 38248338, 38247491, 38246848, 38246133, 38245554, 38245349, 38244232, 38243343","10800207, 10799534, 10799530, 10799142, 10799122, 10797804, 10797006, 10796754, 10794705, 10794284, 10792039, 10791941, 10789846, 10789680, 10789658, 10787918, 10786686, 10784582, 10778441, 10778177, 10800207, 10799534, 10799530, 10797890, 10797080, 10797056, 10794208, 10791618, 10790651, 10790003, 10782009, 10781914, 10779207, 10778935, 10776018, 10773886, 10773572, 10770378, 10770356, 10769871, 10802920, 10802033, 10801966, 10801647, 10801056, 10800207, 10799953, 10799748, 10799534, 10799530, 10799401, 10799341, 10798987, 10798966, 10798655, 10798565, 10798481, 10798137, 10797983, 10797890"
"38261396, 38261283, 38261277, 38261266, 38261254, 38261253, 38261160, 38261146, 38261116, 38260995, 38260993, 38260943, 38260867, 38260855, 38260847, 38260814, 38260811, 38260771, 38260766, 38260763, 38261258, 38260888, 38260871, 38259968, 38259966, 38258013, 38257946, 38257858, 38257155, 38254657, 38254313, 38252324, 38251853, 38251347, 38251240, 38250883, 38250340, 38248952, 38248661, 38247655","10801527, 10801004, 10800868, 10800354, 10799597, 10798561, 10797890, 10797530, 10797188, 10796631, 10796040, 10795693, 10795389, 10795361, 10794845, 10794237, 10794172, 10793952, 10793665, 10793180, 10324432, 10644336, 10595060, 10540355, 10369845, 10338636, 10330723, 10161730, 10178839, 10172222, 10164957, 9864629, 9829175, 9806342, 9716758, 9675190, 9462110, 9433567, 9380443, 9024294, 10800207, 10795389, 10794705, 10792654, 10790003, 10787657, 10783137, 10771827, 10765587, 10762469, 10743156, 10740603, 10740194, 10725907, 10721521, 10721261, 10710263, 10709466, 10704545, 10703778, 10756881, 10732073, 10709914, 10708208, 10702842, 10700544, 10689348, 10783009, 10776502, 10735219, 10734538, 10716854, 10702834, 10684867, 10656558, 10656433, 10641230, 10628763, 10626267, 10619684"
"38232734, 38202569, 38201237, 38164082, 38127793, 38005125, 38005045, 37979864, 37959591, 37898454, 37896411, 37868027, 37763462, 37720810, 37710697, 37687715, 37687702, 37569956, 37564304, 37444927, 38260742, 38260443, 38258788, 38258697, 38258549, 38258516, 38258096, 38256195, 38253716, 38253568, 38251657, 38248627, 38247858, 38247854, 38247833, 38247814, 38247813, 38247788, 38247252, 38247251, 38260555, 38259174, 38256315, 38254415, 38250921, 38250903, 38250853, 38250843, 38249639, 38249480, 38248459, 38247641, 38246268, 38246240, 38246170, 38242707, 38242174, 38237985, 38237616, 38237031","10802810, 10801499, 10800157, 10796427, 10796401, 10795779, 10794237, 10793104, 10792639, 10792334, 10792199, 10754663, 10788728, 10786767, 10785688, 10785460, 10785393, 10783413, 10782588, 10780847, 10802103, 10802069, 10801218, 10801044, 10800854, 10800820, 10800657, 10800485, 10800207, 10799530, 10799412, 10799052, 10798712, 10798151, 10797866, 10797657, 10797472, 10797329, 10797078, 10797030, 10800854, 10800778, 10799530, 10795779, 10795258, 10790581, 10790480, 10787599, 10780804, 10778573, 10774355, 10772458, 10770378, 10770348, 10768369, 10768271, 10765411, 10762816, 10762234, 10755729, 10802180, 10800898, 10800854, 10800778, 10800045, 10799984, 10798976, 10798254, 10797516, 10797146, 10797064, 10795779, 10795258, 10794608, 10794557, 10794358, 10792654, 10792535, 10791843, 10791641"
"38260555, 38257887, 38257847, 38247749, 38247578, 38244386, 38239730, 38239721, 38238509, 38237416, 38224194, 38220490, 38216108, 38213616, 38206101, 38205053, 38199617, 38199304, 38195662, 38190945, 38260850, 38257241, 38248875, 38247846, 38247476, 38243983, 38243137, 38237510, 38232281, 38226453, 38215523, 38214271, 38212600, 38184121, 38181848, 38178094, 38176954, 38171333, 38167945, 38161983","10802926, 10800310, 10797657, 10796258, 10792970, 10792434, 10792031, 10791585, 10787600, 10785325, 10781693, 10780376, 10779657, 10779093, 10777713, 10777520, 10776550, 10776461, 10775387, 10771556, 10792970, 10792031, 10789040, 10788261, 10787600, 10786926, 10785325, 10782545, 10780299, 10776924, 10772875, 10771556, 10771061, 10768288, 10767774, 10765141, 10763240, 10762647, 10760320, 10757015, 10800249, 10799056, 10798284, 10797978, 10795836, 10794356, 10792970, 10792788, 10792031, 10792005, 10790767, 10790573, 10790309, 10789040, 10788261, 10787600, 10786926, 10785325, 10785163, 10784727, 10801589, 10800231, 10800207, 10799787, 10799605, 10796992, 10795779, 10792904, 10791923, 10791799, 10790211, 10787599, 10786926, 10785325, 10784727, 10783308, 10783156, 10781751, 10781648, 10780059, 10610377, 10508273, 10456773, 10222899, 10222408, 9968132, 9907785, 9902672, 10189778, 10088874, 10056187, 9878056, 9877828, 9860462, 9789788, 9807604, 9618425, 9602709, 9561578, 9561365, 10781860, 10767315, 10762640, 10740147, 10712781, 10799946, 10779698, 10759741, 10751315, 10713620, 10689598, 10662555, 10613187, 10594506, 10580978, 10509997, 10504677, 10497558, 10487583, 10464380, 10792031, 10788261, 10785325, 10771556, 10748047, 10746886, 10744263, 10740584, 10731021, 10722532, 10715745, 10713381, 10711397, 10708184, 10665092, 10787080, 10786731, 10780512, 10779698, 10779275"
"38197898, 37907948, 37665469, 37066992, 34555253, 34289871, 33869045, 32265918, 32231996, 25287760, 24036152, 23826713, 23329394, 23067542, 23005593, 22691359, 22566929, 22179929, 21833687, 21317386, 38260723, 38260669, 38260663, 38260594, 38260484, 38260393, 38260336, 38260315, 38259496, 38259473, 38259064, 38258878, 38258331, 38257752, 38257738, 38256371, 38256253, 38256189, 38255961, 38255822, 38254179, 38250876, 38245623, 38226313, 38224478, 38221616, 38212127, 38200037, 38199599, 38195702, 38169303, 38113900, 38108641, 38091946, 38087364, 38085197, 38077312, 38073378, 38058821, 38042400, 36717220, 36467341, 35371995, 33686787, 33462141","10802901, 10802203, 10802180, 10801589, 10801516, 10801496, 10801056, 10800828, 10800576, 10800548, 10800455, 10800370, 10800207, 10800116, 10800079, 10800023, 10800015, 10799913, 10799860, 10799847, 10801221, 10800356, 10800352, 10799913, 10799433, 10797874, 10794567, 10794466, 10794012, 10793199, 10793100, 10792488, 10791893, 10791726, 10791040, 10790396, 10789731, 10786962, 10785552, 10778712, 10795359, 10778542, 10764939, 10705165, 10777056, 10731702, 10731046, 10693933, 10615893, 10470438, 10386415, 10298087, 10282164, 10268023, 10618913, 10568939, 10486809, 10478474, 10474666, 10420296, 10802180, 10801589, 10801569, 10800748, 10800720, 10800395, 10800356, 10800327, 10800207, 10800079, 10799929, 10799913, 10799433, 10799368, 10798925, 10798254, 10797964, 10797874, 10797146, 10795733, 10795359, 10778542, 10764939, 10705165, 10777056, 10731702, 10731046, 10693933, 10615893, 10470438, 10386415, 10298087, 10282164, 10268023, 10618913, 10568939, 10486809, 10478474, 10474666, 10420296, 10803162, 10802967, 10802846, 10802843, 10802203, 10802180, 10802129, 10802021, 10802000, 10801708, 10801589, 10801516, 10801496, 10801221, 10800970, 10800968, 10800960, 10800918, 10800748, 10800680"
"38260637, 38260519, 38260484, 38260336, 38259990, 38259496, 38257167, 38250890, 38250325, 38249726, 38248874, 38247827, 38246002, 38240138, 38233524, 38228228, 38227652, 38227216, 38227172, 38225288, 38260999, 38255705, 38254885, 38254866, 38254190, 38253539, 38251576, 38249856, 38249813, 38248854, 38248731, 38247313, 38244291, 38243906, 38243252, 38242997, 38242769, 38240936, 38238771, 38235317, 38255251, 38254798, 38249811, 38246566, 38243049, 38241194, 38238993, 38236243, 38235757, 38235318, 38233811, 38233074, 38231411, 38229183, 38228729, 38223729, 38223688, 38218823, 38218022, 38217840, 38256102, 38255265, 38254716, 38254394, 38249467, 38244466, 38240927, 38240853, 38237727, 38231432, 38227907, 38227656, 38225437, 38223327, 38218985, 38211959, 38211733, 38199298, 38199271, 38194271","10797485, 10797108, 10797042, 10794618, 10794540, 10791833, 10790817, 10790752, 10790450, 10790448, 10788543, 10788308, 10788225, 10786404, 10785380, 10783089, 10783031, 10782663, 7615515, 10781527, 10778076, 10755667, 10745351, 10744656, 10740415, 10730159, 10706695, 10703311, 10800223, 10799920, 10791971, 10782967, 10776793, 10763646, 10757596, 10745048, 10742837, 10740403, 10731797, 10722970, 7244730, 6684003, 5646386, 5168579, 10761161, 10470868, 10507020, 10341584, 10005057, 10182090, 8621464, 10653618, 10626715, 10269482, 10376922, 10112845, 9500663, 9138768, 8555557, 8712374, 8409728, 8379076, 7919468, 7825182, 8549850, 7744946, 7547075, 7703666, 6537101, 6021602, 5412925, 10801267, 10800924, 10800874, 10800778, 10800491, 10799955, 10799629, 10799510, 10799374, 10798865, 10797776, 10797485, 10797108, 10797042, 10796459, 10795156, 10794771, 10794618, 10794520, 10794514"
"38260906, 38260902, 38260892, 38260889, 38260883, 38260873, 38260536, 38260493, 38260444, 38260330, 38260103, 38259967, 38259673, 38259349, 38259106, 38259105, 38259093, 38259061, 38258768, 38258376, 38248360, 38226120, 38223912, 38196475, 38187927, 38168300, 38151037, 38130741, 38117184, 38114878, 38105146, 38044960, 38042205, 38038853, 38033789, 38021360, 38019753, 38016098, 38009009, 37995002","10795779, 10792889, 10790789, 10787430, 10778981, 10778632, 10778161, 10777979, 10767240, 10765121, 10764589, 10756490, 10757721, 10755545, 10742893, 10732214, 10731444, 10724188, 10720733, 10718502, 10803166, 10802164, 10802141, 10801940, 10801589, 10801542, 10801520, 10801455, 10800970, 10800968, 10800938, 10800726, 10800720, 10800477, 10800455, 10800390, 10800370, 10800178, 10800070, 10799929, 10800306, 10799847, 10794775, 10787103, 10779569, 10778791, 10778019, 10776015, 10773219, 10761718, 10756860, 10752826, 10745760, 10743680, 10735022, 10731813, 10729563, 10722681, 10721976, 10721521, 10802055, 10801520, 10800726, 10800477, 10800421, 10800306, 10800207, 10799778, 10799374, 10798368, 10798145, 10797874, 10797634, 10795918, 10794326, 10794181, 10792831, 10791921, 10791869, 10789073"
"38260879, 38260626, 38258092, 38258048, 38257912, 38257873, 38257851, 38257155, 38256081, 38255939, 38255909, 38255890, 38255874, 38254918, 38254536, 38254456, 38254438, 38253961, 38253956, 38253650, 38260209, 38259967, 38259673, 38259106, 38258019, 38257864, 38257851, 38256076, 38255683, 38255299, 38254941, 38254883, 38254659, 38254195, 38252188, 38250925, 38249451, 38248846, 38246375, 38244627","10787199, 10786962, 10784786, 10784742, 10779232, 10779188, 10778712, 10776685, 10775454, 10774963, 10774906, 10774121, 10773204, 10772281, 10764009, 10758524, 10756490, 10755586, 10750739, 10750682, 10801084, 10800934, 10800207, 10798254, 10797852, 10797825, 10797287, 10794775, 10794567, 10793199, 10793145, 10790434, 10789637, 10789628, 10788409, 10788067, 10786962, 10786594, 10786444, 10784856, 9834441, 7612573, 7672684, 4070608, 4070603, 3635727, 3028333, 10802967, 10802479, 10802212, 10802164, 10802103, 10802021, 10801670, 10801647, 10801642, 10801555, 10801542, 10801533, 10801520, 10801330, 10801221, 10801200, 10801191, 10801028, 10801024, 10800995, 10705512, 10615152, 10530547, 10449058, 10605165, 10420049, 10010308, 10025556, 9926786, 9794821, 9786745, 9658148, 9651911, 9512245, 9446657, 9392714, 9306174, 9280728, 9022225, 8858928"
