PubMed_IDs_R,PMC_IDs_R
"37983931, 37964307, 37932800, 37904379, 37783407, 37760781, 37699302, 37676407, 37606879, 37597422, 37528793, 37298253, 37187758, 37184519, 36840501, 36623411, 36559672, 36535327, 36483973, 36451837, 38170343, 38007483, 37907173, 37633235, 37286044, 36584854, 36535573, 36475797, 36455758, 36448712, 36419754, 36384075, 36356302, 36185620, 35932064, 35908276, 35692770, 35680099, 35562774, 35456965, 38259481, 38259304, 38257864, 38254877, 38251775, 38251469, 38250713, 38250686, 38249381, 38243254, 38240829, 38240248, 38238682, 38233736, 38231220, 38231215, 38231214, 38229048, 38228846, 38228299","10801988, 10801856, 10801243, 10800980, 10800846, 10800726, 10800666, 10800657, 10800605, 10800392, 10800390, 10800298, 10800207, 10800157, 10799947, 10799925, 10799412, 10799404, 10799341, 10799292"
"38199270, 38071072, 38018066, 38003218, 37948101, 37726865, 37649924, 37414062, 37324569, 37259539, 37202544, 37163349, 37151270, 37052167, 37020654, 36957977, 36948273, 36863969, 36819159, 36812230, 38199270, 38164654, 38106528, 38018066, 37803835, 37780051, 37682324, 37676349, 37646104, 37579918, 37467011, 37435036, 37344697, 37284518, 37130682, 37116582, 37094701, 36966869, 36874138, 36804930, 38062857, 37630619, 37478851, 37395032, 37340688, 37276064, 37074210, 36868465, 36819064, 36768196, 36341397, 36338128, 36214094, 36139567, 35873546, 35807853, 35599486, 35429253, 35331377, 35074252","10509984, 9709252, 8781170, 6957737, 3999941, 1934094, 2033159, 2356396, 2357626, 2439040, 2486220, 2485742, 2543984"
"37009368, 36911589, 27051585, 38260910, 38259967, 38259963, 38259396, 38255253, 38253929, 38251788, 38249961, 38233485, 38232140, 38220540, 38217044, 38216746, 38215690, 38205394, 38203845, 38203747, 38203738, 38202177, 38201260, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255819, 38255764, 38255652, 38255320, 38255263","10800207, 10799530, 10770378, 10766395, 10740712, 10730622, 10729488, 10691087, 10691019, 10726422, 10710418, 10704913, 10681998, 10672464, 10663273, 10654065, 10640648, 10633811, 10592789, 10580657, 10800207, 10799534, 10799530, 10799142, 10799122, 10797804, 10797006, 10796754, 10794705, 10794284, 10792039, 10791941, 10789846, 10789680, 10789658, 10787918, 10786686, 10784582, 10778441, 10778177, 10803162, 10802069, 10802051, 10801996, 10801814, 10801670, 10801200, 10801052, 10801044, 10801022, 10800916, 10800854, 10800846, 10800840, 10800778, 10800578, 10800491, 10800485, 10800392, 10800207, 10802926, 10802798, 10802228, 10802109, 10801906, 10801855, 10801814, 10801737, 10801329, 10801111, 10801044, 10801034, 10801022, 10800846, 10800816, 10800802, 10800513, 10800491, 10800366, 10800298"
"38261283, 38261254, 38260943, 38260913, 38260901, 38260892, 38260885, 38260867, 38260847, 38260814, 38260695, 38260694, 38260681, 38260583, 38260542, 38260521, 38260497, 38260444, 38260443, 38260187, 38260883, 38259104, 38259074, 38242018, 38238332, 38229335, 38217803, 38211474, 38200295, 38191433, 38190922, 38181946, 38179451, 38177233, 38171069, 38142991, 38136990, 38135695, 38134685, 38118133, 38254657, 38243187, 37974077, 37848577, 37792480, 37721596, 37649797, 37630528, 37606380, 37579801, 37565577, 37405169, 37257170, 37142411, 36933058, 36748519, 36616228, 36563862, 36480152, 36403442","10800808, 10800207, 10799955, 10799374, 10798041, 10797776, 10797485, 10797108, 10795932, 10795464, 10793104, 10791042, 10788592, 10786816, 10779037, 10776748, 10776584, 10770920, 10770348, 10770169, 10802793, 10801495, 10801004, 10800868, 10800354, 10800207, 10797874, 10797188, 10797108, 10796827, 10796818, 10796667, 10795693, 10795389, 10795361, 10794237, 10794172, 10794142, 10793952, 10793698"
"38142927, 37809098, 37770004, 37672184, 37586618, 37552906, 37534876, 37215379, 37202490, 37179753, 37063913, 36708806, 36516815, 36462502, 36227802, 36044863, 35776495, 35724605, 35719369, 35707544, 38260588, 38259673, 38259174, 38257851, 38254415, 38246520, 38244515, 38238446, 38233139, 38231213, 38227935, 38226701, 38222654, 38218976, 38218870, 38213324, 38206189, 38203732, 38201868, 38201190, 38232734, 38201237, 37898454, 37875976, 37443936, 37243275, 37062672, 36967419, 36909592, 36571877, 36189252, 36078039, 36058173, 35563571, 35013108, 34867922, 34757701, 34730393, 34695632, 34636141","10803070, 10802668, 10802228, 10802180, 10801996, 10801732, 10801670, 10801599, 10801516, 10801329, 10801267, 10801200, 10801044, 10800980, 10800966, 10800898, 10800892, 10800876, 10800852, 10800846, 10802228, 10801670, 10801599, 10801329, 10801200, 10801052, 10801022, 10800980, 10800808, 10800778, 10800657, 10800374, 10800300, 10800160, 10800157, 10800071, 10799955, 10799902, 10799778, 10799510"
"38257241, 38215523, 38143857, 38029124, 37994879, 37981076, 37968407, 37954098, 37952591, 37924150, 37907566, 37867327, 37833920, 37732773, 37717446, 37667234, 37655896, 37627545, 37594273, 37504708, 38187703, 38162870, 38140400, 38139044, 38128983, 38128774, 38101189, 38095474, 38084951, 38071209, 38055781, 38048784, 38045247, 37956735, 37939253, 37935604, 37926364, 37884450, 37882553, 37877586","10803162, 10802969, 10802926, 10802810, 10802798, 10802683, 10802576, 10802471, 10802374, 10802234, 10802228, 10802158, 10802109, 10802103, 10802069, 10802051, 10801996, 10801988, 10801906, 10801873, 10803166, 10802400, 10801516, 10801350, 10801346, 10801111, 10800578, 10800401, 10800310, 10800300, 10800275, 10800230, 10800207, 10800196, 10800157, 10800091, 10800089, 10799925, 10799834, 10799607"
"38254785, 38250876, 38244648, 38231305, 38224627, 38215731, 38212499, 38199598, 38193125, 38179743, 38177106, 38175205, 38172925, 38170019, 38161697, 38130991, 38113624, 38087360, 38085594, 38085521, 38260669, 38260522, 38258518, 38257752, 38251842, 38251507, 38250876, 38250827, 38250045, 38247803, 38246583, 38245530, 38244740, 38243273, 38242283, 38241401, 38241400, 38240659, 38240239, 38239974, 38261396, 38261008, 38260850, 38260640, 38260457, 38260434, 38260418, 38260361, 38260302, 38259474, 38259290, 38258917, 38258906, 38258781, 38258505, 38258105, 38258086, 38258065, 38257194, 38256960, 38253900, 38250876, 38247803, 38243657, 38243273, 38242867, 38237349, 38234792, 38234098, 38232703, 38231344, 38228673, 38226976, 38224917, 38223807, 38221757, 38216949, 38216551, 38212125, 38200408","10803162, 10802969, 10802926, 10802810, 10802798, 10802683, 10802576, 10802471, 10802374, 10802234, 10802228, 10802158, 10802109, 10802103, 10802069, 10802051, 10801996, 10801988, 10801906, 10801873, 10803166, 10802400, 10801516, 10801350, 10801346, 10801111, 10800578, 10800401, 10800310, 10800300, 10800275, 10800230, 10800207, 10800196, 10800157, 10800091, 10800089, 10799925, 10799834, 10799607"
"38261396, 38261008, 38260850, 38260640, 38260457, 38260434, 38260418, 38260361, 38260302, 38259474, 38259290, 38258917, 38258906, 38258781, 38258505, 38258105, 38258086, 38258065, 38257194, 38256960, 38260254, 38253029, 38250858, 38244662, 38243600, 38239853, 38236545, 38232136, 38231165, 38223508, 38216551, 38214607, 38213616, 38194912, 38192630, 38192442, 38188285, 38187708, 38183312, 38182756, 38260850, 38260594, 38260519, 38260362, 38259671, 38259453, 38259064, 38258094, 38257813, 38257808, 38256371, 38256189, 38256070, 38255751, 38254943, 38254536, 38254179, 38254069, 38254003, 38253900, 38259453, 38256102, 38255265, 38255251, 38254716, 38254394, 38249467, 38244466, 38240927, 38240853, 38239881, 38237727, 38236766, 38236249, 38235146, 38233101, 38231432, 38230351, 38227907, 38227656","10799553, 10797485, 10797329, 10796067, 10794284, 10791799, 10791616, 10790651, 10789680, 10780724, 10780656, 10778471, 10778173, 10777376, 10776763, 10776634, 10774404, 10773798, 10771991, 10768001"
"38261115, 38260217, 38258518, 38254779, 38254730, 38251437, 38250763, 38250278, 38250164, 38248360, 38247924, 38247098, 38246591, 38246505, 38244334, 38243929, 38242991, 38242730, 38241878, 38241581, 38260901, 38260899, 38260892, 38260882, 38260869, 38260714, 38260539, 38260072, 38260015, 38259741, 38259389, 38259136, 38259079, 38259066, 38258758, 38258376, 38258357, 38258021, 38257997, 38257996","10801044, 10794775, 10788336, 10782710, 10782555, 10782058, 10780698, 10780511, 10780320, 10779569, 10779276, 10778640, 10778594, 10776610, 10776322, 10775380, 10775146, 10773723, 10773338, 10772480"
"38255819, 38255764, 38255320, 38253407, 38249970, 38248826, 38247834, 38245781, 38244236, 38243324, 38238335, 38233383, 38233198, 38231408, 38229941, 38229023, 38227799, 38225565, 38221552, 38220140, 38245781, 38233383, 38220553, 38206981, 38193202, 38173174, 38157451, 38151490, 38112525, 38084103, 38078655, 38068838, 38066482, 38064817, 38064812, 38062958, 38030117, 38022496, 37996842, 37995573","10803162, 10802810, 10802109, 10802103, 10802069, 10801996, 10801988, 10801856, 10801732, 10801670, 10801599, 10801555, 10801516, 10801499, 10801329, 10801245, 10801200, 10801111, 10801052, 10801044"
