PubMed_IDs_TP,PMC_IDs_TP
"37483517, 35456965, 35267483, 33782030, 33598422, 30567732, 29259270, 37000073, 36813949, 36419946, 36314013, 35899973, 35884067, 35456965, 35437596, 34363898, 31747390, 31394110, 31237031, 30863783, 30768986, 29675003, 28891130, 28685143, 28644872, 28522905, 28397767","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798862, 10798365, 10797776, 10797657, 10797652, 10796980, 10796730, 10796650, 10796567, 10778842, 10297092, 9944430, 9781426, 9684929, 8237404, 8038795, 7838579, 7409811, 6230576, 4847413"
"36341397, 36341397, 38057027, 37648032, 36461145, 33734544, 32335583, 30401967, 28960811","10794624, 10776925, 10766425, 10719222, 10688819, 10797971, 10781727, 10776793, 10776250, 10766766, 10765502, 10728488, 10716218, 10710489, 10702354, 10701590, 10694185, 10690632, 10671208, 10634249"
"38260058, 38259389, 38248835, 38248826, 38243950, 38227168, 38223252, 38219386, 38203843, 38196386, 38165179, 38145785, 38145046, 38138587, 38137213, 38133321, 38126747, 38124090, 38116204, 38115672","10800578, 10800207, 10798365, 10797776, 10795779, 10794557, 10793686, 10793679, 10791026, 10790632, 10789030, 10786686, 10786629, 10780906, 10780434, 10779203, 10778104, 10778076, 10776137, 10773886"
"38260883, 38258013, 38246385, 38246375, 38244366, 38238332, 38229335, 38219656, 38203764, 38200713, 38195072, 38190786, 38189382, 38181646, 38175355, 38170279, 38165897, 38159669, 38157148, 38154629, 34740038, 34672103, 34212286, 34099819, 34061338, 34037848, 33970104, 33905741, 33902686, 33725656, 33645538, 33411134, 33293055, 33128575, 33026145, 33002342, 32717916, 32183121, 32041255, 31615682, 38260883, 38246375, 38244366, 38243603, 38238332, 38229335, 38195072, 38179917, 38178580, 38165897, 38165637, 38160900, 38159669, 38154629, 38144811, 38142991, 38132328, 38130237, 38111220, 38101646","10800207, 10794557, 10772641, 10770169, 10763188, 10749022, 10744307, 10740837, 10728740, 10722742, 10721521, 10719430, 10715246, 10714986, 10706695, 10688821, 10800223, 10792991, 10791971, 10778911"
"35563571, 34089568, 29528942, 37875976, 34089568, 27661668, 37243275, 36078039, 35563571, 34635950, 32738100, 32626789, 32415175, 32346080, 31713285, 29429685, 28350257, 27412591, 27148266, 25875645, 25871620","10802228, 10801670, 10801599, 10801329, 10801200, 10801052, 10801022, 10800980, 10800808, 10800778, 10800657, 10800374, 10800300, 10800160, 10800157, 10799955, 10799902, 10799778, 10799510, 10799374"
"36144354, 37498116, 36144354, 33563986, 27913859, 23836865, 22847446, 21767810, 15528672, 15528647, 12829271, 10869064, 9226263, 9023924, 8821520, 2844305, 2824484, 6362721, 6359164, 6754730, 6754729, 36144354","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798862, 10798365, 10797776, 10797657, 10797652, 10796980, 10796730, 10796650, 10796567"
"35364006, 33813258, 30850021, 27764786, 25550693, 35394489, 35364006, 34879220, 34484664, 34363007, 34232945, 32787520, 31030170, 30639261, 30329020, 30002222, 29931050, 29129565, 29018150, 28927426, 28100021, 25484988, 25452304, 25157100, 25147342, 38250607, 38247856, 38203798, 38194071, 38188300, 38135253, 38113965, 38110929, 38092386, 38056896, 38055776, 38038367, 38035076, 38022581, 38007509, 38000727, 37987132, 37965323, 37958812, 37925379, 38144305, 37971169, 37814391, 37770968, 37714830, 37705739, 37660142, 37564196, 37483627, 37333156, 37328649, 37256648, 37215580, 37139184, 37121977, 37086018, 37028278, 36894965, 36869048, 36561746","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798862, 10798365, 10797776, 10797657, 10797652, 10796980, 10796730, 10796650, 10796567"
"38149971, 37950348, 37586767, 37280206, 37172100, 37026005, 36809225, 36384590, 35960818, 35798537, 35728869, 35138911, 34168045, 34120214, 33835499, 33771892, 32849555, 32831296, 32737148, 32286182, 38239352, 38225265, 38182721, 38112398, 38097551, 38077397, 38037341, 38011567, 37993659, 37983487, 37962205, 37961434, 37958791, 37886513, 37815865, 37794800, 37776855, 37769533, 37767552, 37739454, 38261253, 38260999, 38260854, 38260850, 38260594, 38260522, 38260336, 38260279, 38259467, 38259453, 38259448, 38255301, 38254759, 38254179, 38254043, 38253625, 38253539, 38253219, 38253029, 38252684","10801111, 10800310, 10800207, 10799925, 10798865, 10797776, 10797570, 10796631, 10795742, 10795475, 10794815, 10794624, 10794557, 10794555, 10794235, 10793679, 10790632, 10786686, 10785269, 10780763"
"38151037, 37447211, 37274313, 37235632, 35883906, 35640709, 34946037, 34778069, 34422640, 34110482, 33512805, 32947713, 32188136, 31735444, 31355925, 31215236, 31143067, 30558669, 28404159, 28404012, 37917397, 36544934, 36222897, 34858881, 34739493, 32369505, 31519703, 31466948, 31355925, 28980268, 38091982, 36544934, 34963056, 34824452, 34490283, 34422640, 34412659, 33347052, 32943463, 32429496, 32175626, 32133681, 32129453, 31800492, 31445426, 31376284, 31355925, 31173647, 30931254, 30558669, 38117184, 37425673, 37249755, 37174041, 36544934, 36280325, 34946037, 34778069, 34439930, 34315165, 33512805, 33347052, 33236315, 32955191, 32441160, 32296343, 32188136, 31466948, 31143067, 31059738","10801516, 10801111, 10800578, 10800300, 10800207, 10800157, 10800091, 10798911, 10798365, 10797776, 10796650, 10796354, 10795779, 10794845, 10794624, 10794555, 10793679, 10792149, 10791998, 10790632"
"38156815, 38110964, 38070244, 38066482, 38045056, 38006803, 38002268, 37995573, 37949390, 37946610, 37930142, 37875182, 37838132, 37820403, 37815870, 37813835, 37778980, 37777160, 37777068, 37768071, 38149880, 38066482, 38006803, 37995573, 37838132, 37820403, 37815870, 37495079, 37494667, 37460613, 37391162, 37330043, 37256205, 37239907, 37151884, 37108564, 37012876, 36926666, 36688460, 36566008","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798862, 10798365, 10797776, 10797657, 10797652, 10796980, 10796730, 10796650, 10796567"
"38092785, 37948972, 37868983, 37863310, 37843357, 37798858, 37654668, 37645558, 37631968, 37629267, 37612691, 37582478, 37567514, 37548272, 37534607, 37422093, 37345467, 37335757, 37287986, 37263112, 38249451, 38172680, 38172612, 38135686, 38128432, 38126100, 38093014, 38034050, 38004128, 37997887, 37893576, 37848036, 37842470, 37834270, 37781374, 37743871, 37686834, 37675346, 37642987, 37629267","10802810, 10802234, 10802158, 10802103, 10801732, 10801662, 10801599, 10801111, 10801022, 10800980, 10800970, 10800846, 10800824, 10800775, 10800726, 10800578, 10800556, 10800509, 10800390, 10800374"
